iter	Passed	Remaining
0	132	132787
1	134	66902
2	135	45159
3	136	34092
4	137	27439
5	139	23028
6	140	19892
7	141	17527
8	142	15681
9	143	14204
10	144	12998
11	145	11986
12	146	11132
13	147	10401
14	148	9761
15	149	9209
16	151	8741
17	152	8300
18	153	7907
19	154	7555
20	155	7236
21	156	6949
22	157	6695
23	158	6464
24	160	6242
25	161	6038
26	162	5845
27	163	5662
28	164	5494
29	165	5343
30	166	5206
31	167	5068
32	168	4939
33	169	4817
34	170	4703
35	171	4600
36	172	4497
37	173	4398
38	174	4307
39	175	4221
40	177	4142
41	178	4062
42	179	3989
43	180	3932
44	182	3866
45	183	3799
46	184	3736
47	185	3677
48	186	3619
49	187	3564
50	188	3512
51	189	3459
52	190	3408
53	191	3359
54	192	3312
55	193	3266
56	195	3226
57	196	3185
58	197	3144
59	198	3103
60	199	3069
61	200	3033
62	202	3005
63	203	2971
64	204	2936
65	205	2902
66	206	2870
67	207	2838
68	208	2808
69	209	2778
70	210	2755
71	211	2729
72	212	2701
73	213	2674
74	214	2650
75	215	2624
76	216	2600
77	217	2576
78	219	2554
79	220	2531
80	221	2508
81	222	2487
82	222	2460
83	223	2439
84	225	2422
85	226	2408
86	227	2388
87	228	2372
88	229	2354
89	231	2335
90	232	2317
91	233	2300
92	234	2284
93	235	2268
94	236	2251
95	237	2235
96	238	2221
97	239	2206
98	241	2198
99	242	2184
100	243	2170
101	244	2156
102	246	2143
103	247	2129
104	248	2116
105	249	2102
106	250	2089
107	251	2077
108	252	2064
109	253	2051
110	255	2048
111	257	2039
112	258	2026
113	259	2014
114	260	2003
115	261	1991
116	262	1978
117	263	1967
118	264	1956
119	265	1946
120	266	1936
121	267	1923
122	268	1913
123	269	1904
124	270	1896
125	272	1888
126	273	1876
127	274	1866
128	275	1857
129	276	1847
130	277	1838
131	278	1829
132	279	1820
133	280	1811
134	281	1802
135	282	1795
136	283	1788
137	284	1779
138	286	1771
139	287	1763
140	288	1755
141	288	1744
142	289	1736
143	291	1729
144	292	1722
145	293	1714
146	294	1707
147	295	1699
148	296	1693
149	298	1688
150	299	1682
151	300	1676
152	301	1671
153	302	1663
154	303	1657
155	305	1650
156	306	1644
157	307	1637
158	308	1631
159	309	1626
160	310	1619
161	311	1613
162	313	1607
163	314	1602
164	315	1597
165	317	1594
166	318	1587
167	319	1582
168	320	1576
169	321	1571
170	323	1565
171	324	1560
172	325	1556
173	326	1552
174	328	1546
175	329	1540
176	330	1535
177	331	1532
178	332	1526
179	333	1520
180	335	1515
181	336	1511
182	337	1507
183	338	1503
184	340	1499
185	341	1494
186	342	1489
187	343	1484
188	344	1480
189	346	1478
190	347	1473
191	349	1469
192	350	1463
193	351	1459
194	352	1454
195	353	1449
196	354	1445
197	355	1441
198	357	1437
199	358	1432
200	359	1428
201	360	1424
202	362	1421
203	363	1417
204	364	1413
205	365	1409
206	366	1404
207	367	1400
208	368	1396
209	369	1391
210	371	1387
211	372	1382
212	373	1378
213	374	1373
214	375	1369
215	376	1368
216	378	1364
217	379	1360
218	380	1356
219	381	1352
220	382	1348
221	383	1344
222	384	1340
223	385	1336
224	386	1332
225	388	1329
226	389	1325
227	390	1321
228	392	1322
229	393	1318
230	394	1314
231	395	1310
232	397	1307
233	398	1303
234	399	1299
235	400	1295
236	401	1292
237	402	1288
238	403	1284
239	404	1281
240	406	1279
241	407	1277
242	408	1273
243	409	1269
244	411	1266
245	412	1263
246	413	1260
247	414	1257
248	415	1254
249	416	1250
250	417	1247
251	419	1244
252	420	1241
253	423	1243
254	425	1242
255	426	1238
256	427	1235
257	428	1232
258	429	1228
259	430	1225
260	431	1222
261	432	1218
262	433	1215
263	434	1212
264	437	1212
265	438	1210
266	439	1206
267	440	1203
268	441	1199
269	442	1196
270	443	1193
271	444	1190
272	446	1188
273	447	1185
274	448	1183
275	449	1180
276	451	1177
277	453	1177
278	454	1174
279	455	1171
280	456	1169
281	457	1165
282	459	1163
283	460	1159
284	461	1156
285	462	1154
286	463	1151
287	464	1148
288	465	1144
289	466	1143
290	468	1141
291	469	1138
292	470	1135
293	471	1132
294	472	1129
295	474	1127
296	475	1124
297	476	1122
298	477	1119
299	478	1117
300	479	1114
301	481	1111
302	483	1112
303	484	1109
304	485	1106
305	486	1103
306	487	1101
307	488	1098
308	489	1095
309	491	1092
310	492	1090
311	493	1087
312	494	1084
313	495	1082
314	497	1080
315	498	1080
316	499	1077
317	501	1074
318	502	1072
319	503	1070
320	504	1067
321	505	1065
322	506	1062
323	508	1060
324	509	1058
325	511	1056
326	513	1057
327	515	1055
328	516	1053
329	517	1050
330	519	1049
331	520	1047
332	522	1045
333	523	1043
334	524	1040
335	525	1038
336	526	1035
337	527	1033
338	529	1033
339	530	1030
340	532	1028
341	533	1026
342	534	1023
343	535	1021
344	536	1019
345	538	1017
346	539	1014
347	540	1012
348	541	1010
349	544	1011
350	545	1008
351	546	1005
352	547	1003
353	548	1001
354	549	998
355	551	997
356	552	995
357	553	992
358	554	990
359	555	988
360	557	986
361	559	985
362	560	983
363	561	981
364	562	978
365	563	976
366	564	974
367	566	972
368	567	969
369	568	967
370	569	965
371	570	963
372	571	960
373	573	959
374	574	958
375	575	955
376	576	953
377	577	950
378	578	948
379	580	946
380	581	944
381	582	941
382	583	939
383	584	937
384	585	935
385	586	933
386	588	932
387	590	931
388	591	928
389	592	926
390	593	924
391	594	922
392	596	920
393	597	918
394	598	916
395	599	914
396	600	912
397	601	909
398	602	907
399	604	907
400	605	904
401	606	902
402	608	900
403	609	898
404	610	896
405	611	894
406	612	892
407	613	890
408	614	888
409	616	886
410	617	884
411	618	883
412	620	881
413	621	879
414	622	877
415	623	875
416	624	873
417	625	871
418	626	869
419	627	867
420	629	865
421	630	863
422	631	861
423	632	859
424	635	859
425	637	858
426	638	856
427	639	854
428	640	852
429	641	850
430	642	848
431	643	846
432	644	844
433	646	842
434	647	840
435	648	838
436	650	837
437	651	836
438	652	833
439	653	831
440	654	829
441	655	827
442	656	825
443	657	823
444	658	821
445	659	819
446	660	817
447	662	815
448	663	813
449	665	813
450	666	811
451	667	809
452	669	807
453	670	806
454	671	804
455	672	802
456	673	800
457	674	798
458	676	796
459	677	794
460	678	793
461	681	793
462	682	791
463	684	790
464	685	788
465	686	786
466	687	785
467	689	783
468	690	781
469	691	779
470	693	778
471	695	778
472	696	776
473	697	774
474	699	772
475	700	770
476	701	768
477	702	766
478	703	765
479	704	763
480	705	761
481	707	760
482	708	758
483	710	757
484	711	755
485	712	754
486	714	752
487	715	750
488	716	749
489	718	747
490	719	745
491	720	744
492	721	742
493	723	740
494	725	740
495	727	738
496	728	736
497	729	735
498	730	733
499	731	731
500	732	729
501	733	727
502	735	726
503	736	724
504	737	723
505	740	723
506	741	721
507	742	719
508	743	717
509	744	715
510	745	713
511	747	712
512	748	710
513	749	708
514	750	707
515	751	705
516	752	703
517	754	702
518	755	700
519	756	698
520	757	696
521	758	694
522	759	693
523	761	691
524	762	689
525	763	687
526	764	686
527	765	684
528	766	682
529	767	680
530	769	680
531	771	678
532	772	676
533	773	674
534	775	673
535	776	672
536	777	670
537	778	668
538	779	667
539	781	665
540	782	663
541	783	662
542	786	661
543	787	660
544	788	658
545	789	656
546	790	655
547	792	653
548	793	651
549	794	649
550	795	648
551	796	646
552	797	644
553	798	642
554	801	642
555	802	641
556	804	639
557	805	638
558	806	636
559	808	634
560	809	633
561	810	631
562	811	629
563	812	627
564	813	626
565	814	624
566	815	623
567	816	621
568	818	619
569	819	618
570	820	616
571	821	614
572	822	612
573	823	610
574	824	609
575	825	607
576	826	605
577	827	604
578	828	602
579	831	601
580	832	600
581	833	598
582	834	597
583	835	595
584	837	593
585	838	592
586	839	590
587	840	588
588	841	587
589	842	585
590	843	583
591	845	582
592	846	581
593	847	579
594	848	577
595	849	575
596	850	574
597	852	572
598	853	571
599	854	569
600	855	568
601	856	566
602	857	564
603	859	563
604	860	561
605	861	560
606	862	558
607	863	556
608	864	555
609	866	553
610	867	552
611	868	550
612	869	548
613	870	547
614	871	545
615	872	543
616	873	542
617	876	541
618	877	540
619	878	538
620	879	536
621	880	535
622	881	533
623	883	532
624	884	530
625	885	529
626	886	527
627	888	526
628	889	524
629	891	523
630	892	521
631	893	520
632	894	518
633	896	517
634	897	515
635	898	514
636	899	512
637	900	511
638	902	509
639	903	508
640	906	507
641	908	506
642	909	505
643	911	503
644	912	502
645	913	500
646	915	499
647	916	497
648	917	496
649	918	494
650	919	493
651	921	492
652	922	490
653	924	488
654	925	487
655	926	485
656	927	484
657	928	482
658	930	481
659	931	479
660	936	480
661	938	479
662	941	478
663	943	477
664	945	476
665	946	474
666	947	472
667	948	471
668	949	469
669	951	468
670	953	467
671	954	466
672	956	464
673	957	463
674	958	461
675	962	461
676	964	460
677	967	459
678	969	458
679	971	456
680	972	455
681	974	454
682	975	452
683	977	451
684	978	450
685	982	449
686	984	448
687	985	446
688	986	445
689	987	443
690	989	442
691	990	440
692	991	439
693	993	437
694	994	436
695	995	434
696	998	433
697	999	432
698	1000	431
699	1002	429
700	1004	428
701	1005	426
702	1006	425
703	1007	423
704	1008	422
705	1009	420
706	1011	419
707	1013	417
708	1014	416
709	1015	414
710	1017	413
711	1019	412
712	1020	410
713	1021	409
714	1023	407
715	1024	406
716	1025	404
717	1028	403
718	1029	402
719	1030	400
720	1032	399
721	1033	397
722	1034	396
723	1035	394
724	1036	393
725	1037	391
726	1039	390
727	1040	388
728	1041	387
729	1043	385
730	1044	384
731	1045	382
732	1047	381
733	1048	379
734	1049	378
735	1050	376
736	1051	375
737	1053	373
738	1054	372
739	1055	370
740	1057	369
741	1058	368
742	1060	366
743	1061	365
744	1062	363
745	1063	362
746	1064	360
747	1066	359
748	1067	357
749	1068	356
750	1069	354
751	1071	353
752	1073	352
753	1075	350
754	1076	349
755	1077	347
756	1078	346
757	1079	344
758	1080	343
759	1082	341
760	1083	340
761	1084	338
762	1085	337
763	1087	335
764	1089	334
765	1090	333
766	1091	331
767	1092	330
768	1094	328
769	1095	327
770	1096	325
771	1097	324
772	1098	322
773	1099	321
774	1101	319
775	1102	318
776	1103	316
777	1105	315
778	1106	313
779	1107	312
780	1108	310
781	1109	309
782	1110	307
783	1112	306
784	1113	304
785	1114	303
786	1115	301
787	1116	300
788	1117	298
789	1119	297
790	1120	296
791	1121	294
792	1122	292
793	1123	291
794	1124	289
795	1125	288
796	1126	286
797	1127	285
798	1128	283
799	1129	282
800	1130	280
801	1131	279
802	1132	277
803	1134	276
804	1135	274
805	1136	273
806	1137	272
807	1138	270
808	1139	269
809	1141	267
810	1142	266
811	1143	264
812	1144	263
813	1146	261
814	1146	260
815	1148	258
816	1149	257
817	1150	256
818	1151	254
819	1152	253
820	1153	251
821	1154	250
822	1156	248
823	1157	247
824	1158	245
825	1159	244
826	1160	242
827	1162	241
828	1163	239
829	1164	238
830	1165	237
831	1166	235
832	1167	234
833	1168	232
834	1169	231
835	1171	229
836	1172	228
837	1173	226
838	1174	225
839	1175	223
840	1177	222
841	1178	221
842	1179	219
843	1180	218
844	1181	216
845	1182	215
846	1184	213
847	1185	212
848	1186	210
849	1187	209
850	1188	208
851	1189	206
852	1190	205
853	1191	203
854	1192	202
855	1193	200
856	1195	199
857	1196	197
858	1197	196
859	1198	195
860	1199	193
861	1200	192
862	1201	190
863	1202	189
864	1203	187
865	1204	186
866	1205	184
867	1206	183
868	1207	181
869	1208	180
870	1209	179
871	1210	177
872	1211	176
873	1213	174
874	1213	173
875	1215	171
876	1216	170
877	1217	169
878	1218	167
879	1219	166
880	1220	164
881	1221	163
882	1222	161
883	1223	160
884	1224	159
885	1225	157
886	1226	156
887	1227	154
888	1228	153
